filename,generated_label,val_label,white_box_consensus,matches_val
0275.png,119,119,True,True
0276.png,909,909,True,True
0277.png,842,842,True,True
0278.png,668,668,True,True
0279.png,936,936,True,True
0280.png,66,66,True,True
0281.png,399,399,True,True
0282.png,973,973,True,True
0283.png,468,468,True,True
0284.png,83,83,True,True
0285.png,575,575,True,True
0286.png,432,432,True,True
0287.png,617,617,True,True
0288.png,180,180,True,True
0289.png,104,104,True,True
0290.png,740,740,True,True
0291.png,259,259,True,True
0292.png,323,323,True,True
0293.png,261,261,True,True
0294.png,439,439,True,True
0295.png,164,164,True,True
0296.png,80,80,True,True
0297.png,155,155,True,True
0298.png,81,81,True,True
0299.png,115,115,True,True
0300.png,970,970,True,True
0301.png,231,231,True,True
0302.png,728,728,True,True
0303.png,947,947,True,True
0304.png,264,264,True,True
0305.png,289,289,True,True
0306.png,245,245,True,True
0307.png,78,78,True,True
0308.png,930,930,True,True
0309.png,657,657,True,True
0310.png,17,17,True,True
0311.png,905,905,True,True
0312.png,730,730,True,True
0313.png,783,783,True,True
0314.png,437,437,True,True
0315.png,556,556,True,True
0316.png,927,927,True,True
0317.png,259,259,True,True
0318.png,203,203,True,True
0319.png,480,480,True,True
0320.png,727,727,True,True
0321.png,10,10,True,True
0322.png,39,39,True,True
0323.png,6,6,True,True
0324.png,176,176,True,True
0325.png,211,211,True,True
0326.png,657,657,True,True
0327.png,220,220,True,True
0328.png,699,699,True,True
0329.png,242,242,True,True
0330.png,322,322,True,True
0331.png,640,640,True,True
0332.png,97,97,True,True
0333.png,237,237,True,True
0334.png,358,358,True,True
0335.png,19,19,True,True
0336.png,840,840,True,True
0337.png,621,621,True,True
0338.png,927,927,True,True
0339.png,178,178,True,True
0340.png,943,943,True,True
0341.png,705,705,True,True
0342.png,23,23,True,True
0343.png,929,929,True,True
0344.png,331,331,True,True
0345.png,145,145,True,True
0346.png,933,933,True,True
0347.png,355,355,True,True
0348.png,339,339,True,True
0349.png,766,766,True,True
0350.png,141,141,True,True
0351.png,40,40,True,True
0352.png,432,432,True,True
0353.png,33,33,True,True
0354.png,779,779,True,True
0355.png,294,294,True,True
0356.png,604,604,True,True
0357.png,764,764,True,True
0358.png,813,813,True,True
0359.png,750,750,True,True
0360.png,477,477,True,True
0361.png,135,135,True,True
0362.png,666,666,True,True
0363.png,46,46,True,True
0364.png,531,531,True,True
0365.png,723,723,True,True
0366.png,196,196,True,True
0367.png,759,759,True,True
0368.png,162,162,True,True
0369.png,405,405,True,True
0370.png,522,522,True,True
0371.png,784,784,True,True
0372.png,919,919,True,True
0373.png,24,24,True,True
0374.png,991,991,True,True
0375.png,858,858,True,True
0376.png,51,51,True,True
0377.png,521,521,True,True
0378.png,843,843,True,True
0379.png,325,325,True,True
0380.png,563,563,True,True
0381.png,883,883,True,True
0382.png,574,574,True,True
0383.png,575,575,True,True
0384.png,493,493,True,True
0385.png,194,194,True,True
0386.png,86,86,True,True
0387.png,107,107,True,True
0388.png,41,41,True,True
0389.png,995,995,True,True
0390.png,592,592,True,True
0391.png,332,332,True,True
0392.png,112,112,True,True
0393.png,387,387,True,True
0394.png,480,480,True,True
0395.png,239,239,True,True
0396.png,523,523,True,True
0397.png,244,244,True,True
0398.png,63,63,True,True
0399.png,117,117,True,True
0400.png,649,649,True,True
0401.png,796,796,True,True
0402.png,923,923,True,True
0403.png,129,129,True,True
0404.png,98,98,True,True
0405.png,25,25,True,True
0406.png,993,993,True,True
0407.png,897,897,True,True
0408.png,405,405,True,True
0409.png,323,323,True,True
0410.png,22,22,True,True
0411.png,244,244,True,True
0412.png,371,371,True,True
0413.png,21,21,True,True
0414.png,552,552,True,True
0415.png,729,729,True,True
0416.png,571,571,True,True
0417.png,589,589,True,True
0418.png,424,424,True,True
0419.png,884,884,True,True
0420.png,117,117,True,True
0421.png,307,307,True,True
0422.png,997,997,True,True
0423.png,295,295,True,True
0424.png,651,651,True,True
0425.png,217,217,True,True
0426.png,390,390,True,True
0427.png,317,317,True,True
0428.png,338,338,True,True
0429.png,673,673,True,True
0430.png,629,629,True,True
0431.png,381,381,True,True
0432.png,415,415,True,True
0433.png,549,549,True,True
0434.png,717,717,True,True
0435.png,133,133,True,True
0436.png,450,450,True,True
0437.png,310,310,True,True
0438.png,4,4,True,True
0439.png,691,691,True,True
0440.png,179,179,True,True
0441.png,603,603,True,True
0442.png,802,802,True,True
0443.png,201,201,True,True
0444.png,774,774,True,True
0445.png,146,146,True,True
0446.png,216,216,True,True
0447.png,823,823,True,True
0448.png,274,274,True,True
0449.png,749,749,True,True
0450.png,759,759,True,True
0451.png,750,750,True,True
0452.png,752,752,True,True
0453.png,69,69,True,True
0454.png,96,96,True,True
0455.png,351,351,True,True
0456.png,118,118,True,True
0457.png,307,307,True,True
0458.png,576,576,True,True
0459.png,336,336,True,True
0460.png,642,642,True,True
0461.png,944,944,True,True
0462.png,286,286,True,True
0463.png,480,480,True,True
0464.png,49,49,True,True
0465.png,200,200,True,True
0466.png,334,334,True,True
0467.png,904,904,True,True
0468.png,295,295,True,True
0469.png,11,11,True,True
0470.png,684,684,True,True
0471.png,813,813,True,True
0472.png,260,260,True,True
0473.png,738,738,True,True
0474.png,330,330,True,True
0475.png,242,242,True,True
0476.png,434,434,True,True
0477.png,736,736,True,True
0478.png,741,741,True,True
0479.png,258,258,True,True
0480.png,518,518,True,True
0481.png,655,655,True,True
0482.png,371,371,True,True
0483.png,1,1,True,True
0484.png,244,244,True,True
0485.png,531,531,True,True
0486.png,668,668,True,True
0487.png,124,124,True,True
0488.png,922,922,True,True
0489.png,685,685,True,True
0490.png,93,93,True,True
0491.png,513,513,True,True
0492.png,142,142,True,True
0493.png,257,257,True,True
0494.png,653,653,True,True
0495.png,1,1,True,True
0496.png,89,89,True,True
0497.png,14,14,True,True
0498.png,565,565,True,True
0499.png,63,63,True,True
0500.png,918,918,True,True
0501.png,402,402,True,True
0502.png,854,854,True,True
0503.png,146,146,True,True
0504.png,841,841,True,True
0505.png,70,70,True,True
0506.png,923,923,True,True
0507.png,988,988,True,True
0508.png,53,53,True,True
0509.png,791,791,True,True
0510.png,961,961,True,True
0511.png,852,852,True,True
0512.png,601,601,True,True
0513.png,57,57,True,True
0514.png,244,244,True,True
0515.png,653,653,True,True
0516.png,927,927,True,True
0517.png,199,199,True,True
0518.png,522,522,True,True
0519.png,180,180,True,True
0520.png,384,384,True,True
0521.png,493,493,True,True
0522.png,271,271,True,True
0523.png,589,589,True,True
0524.png,401,401,True,True
0525.png,53,53,True,True
0526.png,552,552,True,True
0527.png,137,137,True,True
0528.png,947,947,True,True
0529.png,214,214,True,True
0530.png,820,820,True,True
0531.png,221,221,True,True
0532.png,518,518,True,True
0533.png,625,625,True,True
0534.png,802,802,True,True
0535.png,459,459,True,True
0536.png,442,442,True,True
0537.png,283,283,True,True
0538.png,5,5,True,True
0539.png,132,132,True,True
0540.png,293,293,True,True
0541.png,422,422,True,True
0542.png,85,85,True,True
0543.png,629,629,True,True
0544.png,498,498,True,True
0545.png,284,284,True,True
0546.png,495,495,True,True
0547.png,806,806,True,True
0548.png,729,729,True,True
0549.png,138,138,True,True
0550.png,411,411,True,True
0551.png,65,65,True,True
0552.png,548,548,True,True
0553.png,472,472,True,True
0554.png,605,605,True,True
0555.png,990,990,True,True
0556.png,89,89,True,True
0557.png,723,723,True,True
0558.png,127,127,True,True
0559.png,77,77,True,True
0560.png,861,861,True,True
0561.png,922,922,True,True
0562.png,713,713,True,True
0563.png,217,217,True,True
0564.png,203,203,True,True
0565.png,223,223,True,True
0566.png,370,370,True,True
0567.png,434,434,True,True
0568.png,934,934,True,True
0569.png,121,121,True,True
0570.png,773,773,True,True
0571.png,457,457,True,True
0572.png,884,884,True,True
0573.png,191,191,True,True
0574.png,324,324,True,True
0575.png,870,870,True,True
0576.png,560,560,True,True
0577.png,936,936,True,True
0578.png,6,6,True,True
0579.png,991,991,True,True
0580.png,554,554,True,True
0581.png,349,349,True,True
0582.png,958,958,True,True
0583.png,817,817,True,True
0584.png,352,352,True,True
0585.png,421,421,True,True
0586.png,156,156,True,True
0587.png,707,707,True,True
0588.png,911,911,True,True
0589.png,249,249,True,True
0590.png,157,157,True,True
0591.png,634,634,True,True
0592.png,556,556,True,True
0593.png,564,564,True,True
0594.png,715,715,True,True
0595.png,665,665,True,True
0596.png,655,655,True,True
0597.png,916,916,True,True
0598.png,296,296,True,True
0599.png,678,678,True,True
0600.png,983,983,True,True
0601.png,602,602,True,True
0602.png,301,301,True,True
0603.png,221,221,True,True
0604.png,690,690,True,True
0605.png,662,662,True,True
0606.png,135,135,True,True
0607.png,506,506,True,True
0608.png,100,100,True,True
0609.png,819,819,True,True
0610.png,953,953,True,True
0611.png,192,192,True,True
0612.png,9,9,True,True
0613.png,173,173,True,True
0614.png,969,969,True,True
0615.png,502,502,True,True
0616.png,369,369,True,True
0617.png,515,515,True,True
0618.png,704,704,True,True
0619.png,540,540,True,True
0620.png,235,235,True,True
0621.png,732,732,True,True
0622.png,528,528,True,True
0623.png,59,59,True,True
0624.png,14,14,True,True
0625.png,926,926,True,True
0626.png,654,654,True,True
0627.png,220,220,True,True
0628.png,234,234,True,True
0629.png,645,645,True,True
0630.png,195,195,True,True
0631.png,90,90,True,True
0632.png,979,979,True,True
0633.png,171,171,True,True
0634.png,123,123,True,True
0635.png,386,386,True,True
0636.png,874,874,True,True
0637.png,14,14,True,True
0638.png,628,628,True,True
0639.png,210,210,True,True
0640.png,526,526,True,True
0641.png,564,564,True,True
0642.png,880,880,True,True
0643.png,876,876,True,True
0644.png,807,807,True,True
0645.png,457,457,True,True
0646.png,482,482,True,True
0647.png,610,610,True,True
0648.png,252,252,True,True
0649.png,473,473,True,True
0650.png,552,552,True,True
0651.png,106,106,True,True
0652.png,43,43,True,True
0653.png,7,7,True,True
0654.png,473,473,True,True
0655.png,344,344,True,True
0656.png,308,308,True,True
0657.png,169,169,True,True
0658.png,419,419,True,True
0659.png,95,95,True,True
0660.png,667,667,True,True
0661.png,705,705,True,True
0662.png,361,361,True,True
0663.png,750,750,True,True
0664.png,361,361,True,True
0665.png,56,56,True,True
0666.png,628,628,True,True
0667.png,902,902,True,True
0668.png,587,587,True,True
0669.png,266,266,True,True
0670.png,137,137,True,True
0671.png,905,905,True,True
0672.png,824,824,True,True
0673.png,286,286,True,True
0674.png,666,666,True,True
0675.png,339,339,True,True
0676.png,267,267,True,True
0677.png,599,599,True,True
0678.png,916,916,True,True
0679.png,284,284,True,True
0680.png,764,764,True,True
0681.png,672,672,True,True
0682.png,904,904,True,True
0683.png,443,443,True,True
0684.png,704,704,True,True
0685.png,523,523,True,True
0686.png,725,725,True,True
0687.png,209,209,True,True
0688.png,769,769,True,True
0689.png,284,284,True,True
0690.png,943,943,True,True
0691.png,495,495,True,True
0692.png,102,102,True,True
0693.png,289,289,True,True
0694.png,71,71,True,True
0695.png,367,367,True,True
0696.png,4,4,True,True
0697.png,483,483,True,True
0698.png,180,180,True,True
0699.png,251,251,True,True
0700.png,441,441,True,True
0701.png,316,316,True,True
0702.png,394,394,True,True
0703.png,900,900,True,True
0704.png,212,212,True,True
0705.png,727,727,True,True
0706.png,665,665,True,True
0707.png,202,202,True,True
0708.png,156,156,True,True
0709.png,117,117,True,True
0710.png,91,91,True,True
0711.png,293,293,True,True
0712.png,989,989,True,True
0713.png,194,194,True,True
0714.png,626,626,True,True
0715.png,323,323,True,True
0716.png,299,299,True,True
0717.png,245,245,True,True
0718.png,617,617,True,True
0719.png,378,378,True,True
0720.png,87,87,True,True
0721.png,235,235,True,True
0722.png,493,493,True,True
0723.png,864,864,True,True
0724.png,157,157,True,True
0725.png,508,508,True,True
0726.png,305,305,True,True
0727.png,151,151,True,True
0728.png,450,450,True,True
0729.png,333,333,True,True
0730.png,325,325,True,True
0731.png,108,108,True,True
0732.png,789,789,True,True
0733.png,194,194,True,True
0734.png,599,599,True,True
0735.png,720,720,True,True
0736.png,226,226,True,True
0737.png,665,665,True,True
0738.png,71,71,True,True
0739.png,223,223,True,True
0740.png,905,905,True,True
0741.png,620,620,True,True
0742.png,645,645,True,True
0743.png,263,263,True,True
0744.png,827,827,True,True
0745.png,112,112,True,True
0746.png,778,778,True,True
0747.png,946,946,True,True
0748.png,88,88,True,True
0749.png,415,415,True,True
0750.png,331,331,True,True
0751.png,7,7,True,True
0752.png,262,262,True,True
0753.png,599,599,True,True
0754.png,161,161,True,True
0755.png,665,665,True,True
0756.png,346,346,True,True
0757.png,296,296,True,True
0758.png,102,102,True,True
0759.png,335,335,True,True
0760.png,625,625,True,True
0761.png,325,325,True,True
0762.png,176,176,True,True
0763.png,192,192,True,True
0764.png,348,348,True,True
0765.png,272,272,True,True
0766.png,648,648,True,True
0767.png,693,693,True,True
0768.png,829,829,True,True
0769.png,694,694,True,True
0770.png,663,663,True,True
0771.png,528,528,True,True
0772.png,956,956,True,True
0773.png,855,855,True,True
0774.png,440,440,True,True
0775.png,450,450,True,True
0776.png,62,62,True,True
0777.png,25,25,True,True
0778.png,270,270,True,True
0779.png,475,475,True,True
0780.png,548,548,True,True
0781.png,26,26,True,True
0782.png,814,814,True,True
0783.png,1,1,True,True
0784.png,171,171,True,True
0785.png,441,441,True,True
0786.png,146,146,True,True
0787.png,122,122,True,True
0788.png,966,966,True,True
0789.png,649,649,True,True
0790.png,739,739,True,True
0791.png,722,722,True,True
0792.png,873,873,True,True
0793.png,237,237,True,True
0794.png,822,822,True,True
0795.png,996,996,True,True
0796.png,784,784,True,True
0797.png,796,796,True,True
0798.png,3,3,True,True
0799.png,819,819,True,True
0800.png,648,648,True,True
0801.png,163,163,True,True
0802.png,873,873,True,True
0803.png,818,818,True,True
0804.png,87,87,True,True
0805.png,855,855,True,True
0806.png,184,184,True,True
0807.png,621,621,True,True
0808.png,640,640,True,True
0809.png,250,250,True,True
0810.png,634,634,True,True
0811.png,517,517,True,True
0812.png,416,416,True,True
0813.png,163,163,True,True
0814.png,593,593,True,True
0815.png,7,7,True,True
0816.png,37,37,True,True
0817.png,654,654,True,True
0818.png,184,184,True,True
0819.png,925,925,True,True
0820.png,247,247,True,True
0821.png,94,94,True,True
0822.png,728,728,True,True
0823.png,644,644,True,True
0824.png,67,67,True,True
0825.png,660,660,True,True
0826.png,849,849,True,True
0827.png,802,802,True,True
0828.png,416,416,True,True
0829.png,323,323,True,True
0830.png,629,629,True,True
0831.png,191,191,True,True
0832.png,520,520,True,True
0833.png,39,39,True,True
0834.png,53,53,True,True
0835.png,446,446,True,True
0836.png,491,491,True,True
0837.png,93,93,True,True
0838.png,279,279,True,True
0839.png,655,655,True,True
0840.png,903,903,True,True
0841.png,538,538,True,True
0842.png,181,181,True,True
0843.png,26,26,True,True
0844.png,5,5,True,True
0845.png,382,382,True,True
0846.png,602,602,True,True
0847.png,414,414,True,True
0848.png,431,431,True,True
0849.png,422,422,True,True
0850.png,659,659,True,True
0851.png,443,443,True,True
0852.png,462,462,True,True
0853.png,646,646,True,True
0854.png,821,821,True,True
0855.png,718,718,True,True
0856.png,388,388,True,True
0857.png,310,310,True,True
0858.png,432,432,True,True
0859.png,334,334,True,True
0860.png,55,55,True,True
0861.png,88,88,True,True
0862.png,982,982,True,True
0863.png,50,50,True,True
0864.png,609,609,True,True
0865.png,370,370,True,True
0866.png,347,347,True,True
0867.png,211,211,True,True
0868.png,183,183,True,True
0869.png,19,19,True,True
0870.png,496,496,True,True
0871.png,127,127,True,True
0872.png,512,512,True,True
0873.png,616,616,True,True
0874.png,623,623,True,True
0875.png,295,295,True,True
0876.png,494,494,True,True
0877.png,170,170,True,True
0878.png,766,766,True,True
0879.png,552,552,True,True
0880.png,106,106,True,True
0881.png,874,874,True,True
0882.png,981,981,True,True
0883.png,653,653,True,True
0884.png,518,518,True,True
0885.png,974,974,True,True
0886.png,274,274,True,True
0887.png,476,476,True,True
0888.png,308,308,True,True
0889.png,447,447,True,True
0890.png,595,595,True,True
0891.png,435,435,True,True
0892.png,245,245,True,True
0893.png,500,500,True,True
0894.png,680,680,True,True
0895.png,826,826,True,True
0896.png,696,696,True,True
0897.png,494,494,True,True
0898.png,660,660,True,True
0899.png,645,645,True,True
0900.png,282,282,True,True
0901.png,558,558,True,True
0902.png,50,50,True,True
0903.png,43,43,True,True
0904.png,124,124,True,True
0905.png,760,760,True,True
0906.png,21,21,True,True
0907.png,965,965,True,True
0908.png,858,858,True,True
0909.png,780,780,True,True
0910.png,778,778,True,True
0911.png,54,54,True,True
0912.png,846,846,True,True
0913.png,718,718,True,True
0914.png,579,579,True,True
0915.png,145,145,True,True
0916.png,884,884,True,True
0917.png,295,295,True,True
0918.png,317,317,True,True
0919.png,507,507,True,True
0920.png,880,880,True,True
0921.png,649,649,True,True
0922.png,895,895,True,True
0923.png,708,708,True,True
0924.png,815,815,True,True
0925.png,197,197,True,True
0926.png,918,918,True,True
0927.png,499,499,True,True
0928.png,249,249,True,True
0929.png,12,12,True,True
0930.png,408,408,True,True
0931.png,13,13,True,True
0932.png,884,884,True,True
0933.png,19,19,True,True
0934.png,983,983,True,True
0935.png,569,569,True,True
0936.png,334,334,True,True
0937.png,572,572,True,True
0938.png,133,133,True,True
0939.png,925,925,True,True
0940.png,256,256,True,True
0941.png,474,474,True,True
0942.png,986,986,True,True
0943.png,260,260,True,True
0944.png,164,164,True,True
0945.png,162,162,True,True
0946.png,280,280,True,True
0947.png,353,353,True,True
0948.png,735,735,True,True
0949.png,141,141,True,True
0950.png,75,75,True,True
0951.png,668,668,True,True
0952.png,108,108,True,True
0953.png,438,438,True,True
0954.png,55,55,True,True
0955.png,668,668,True,True
0956.png,743,743,True,True
0957.png,233,233,True,True
0958.png,311,311,True,True
0959.png,16,16,True,True
0960.png,171,171,True,True
0961.png,421,421,True,True
0962.png,634,634,True,True
0963.png,151,151,True,True
0964.png,661,661,True,True
0965.png,893,893,True,True
0966.png,560,560,True,True
0967.png,970,970,True,True
0968.png,729,729,True,True
0969.png,661,661,True,True
0970.png,682,682,True,True
0971.png,389,389,True,True
0972.png,316,316,True,True
0973.png,503,503,True,True
0974.png,447,447,True,True
0975.png,428,428,True,True
0976.png,494,494,True,True
0977.png,824,824,True,True
0978.png,529,529,True,True
0979.png,197,197,True,True
0980.png,589,589,True,True
0981.png,336,336,True,True
0982.png,887,887,True,True
0983.png,352,352,True,True
0984.png,158,158,True,True
0985.png,920,920,True,True
0986.png,176,176,True,True
0987.png,870,870,True,True
0988.png,166,166,True,True
0989.png,471,471,True,True
0990.png,969,969,True,True
0991.png,159,159,True,True
0992.png,945,945,True,True
0993.png,602,602,True,True
0994.png,184,184,True,True
0995.png,894,894,True,True
0996.png,276,276,True,True
0997.png,53,53,True,True
0998.png,862,862,True,True
0999.png,787,787,True,True
1000.png,406,406,True,True
